SNR,NoE,NoB,BER
0,167,1000,0.167
1,141,1000,0.141
2,114,1000,0.114
3,992,10000,0.0992
4,736,10000,0.0736
5,522,10000,0.0522
6,340,10000,0.034
7,2123,100000,0.02123
8,1246,100000,0.01246
9,631,100000,0.00631
10,2926,1000000,0.002926
11,1493,1000000,0.001493
12,1506,2000000,0.000753
13,1279,3000000,0.00042633333333333336
14,902,3000000,0.0003006666666666667
15,995,4000000,0.00024875
16,909,4000000,0.00022725
17,874,4000000,0.0002185
18,845,4000000,0.00021125
19,819,4000000,0.00020475
20,802,4000000,0.0002005
